product_id,name_template,productcategoryname,service
3002,"Disque dur interne 3""5 Sata III HDD WESTERN DIGITAL 4To-RED -WD40EFRX",All products,SI
3019,Licences d'application : cPanel,Hébergement,SI
3003,HDD 300GB SAS 15rpm,All products,SI
3950,Module ERP,ERP,Projects
4090,Visio Online P1,Office 365,SI
3038,VPS 2,Serveur,SI
3022,"Bannière publicitaire : - Conception, design. - Support de bannière. - Mise en place.",All products,SI
3023,"Ranking Site, programmation du script : - Par catégorie. - Ciblage pays. - Programmation script. - Supprt rank.",All products,SI
3047,SLA ( Service Level Agreement ) Site Web,Développement web,Projects
3041,Certificats SSL wildcard,SSL,SI
3037,Serveur Privé VM ( EG) VPS DZ ( Algérie ),Serveur,SI
4087,Licence Utilisateur Odoo Entreprise,ERP,Projects
3046,Intégration ,Achat,Marketing
3008,Hébergement Plan Particulier,Hébergement,SI
2747,Sécurisation des machines serveurs et l'infrastructure d'entreprise - Installation et configuration de base du Firewall ,Hébergement,SI
3043,"Service for every day to other machine 2, and machine 2 have firewall that no machine can connect to machine2, for more security",All products,SI
3049,REVENDEUR 2,Hébergement,SI
3048,REVENDEUR 1,Hébergement,SI
3044,end-point protection. - Complete end-point protection. - File server protection. - Scans all the traffic your servers can handle,All products,SI
2997,Migration vers un plan supérieur,Hébergement,SI
3040,Certificats SSL123,SSL,SI
3050,REVENDEUR 3,Hébergement,SI
3061,Hebergement ,All products,SI
3032,Hébergement Plan Entreprise,Hébergement,SI
2970,ERP SaaS,ERP,Projects
2669,Disque dure SATA,Matériel,SI
4091,Visio Online P2,Office 365,SI
2773,Enregistrement - Transfert - Renouvellement Nom de domaine .com,Hébergement,SI
2869,Serveur HP Proliant ML110-G7/ ERP,Matériel,SI
2666,charte graphique,All products,SI
2667,Frais dÃ©placement,All products,SI
2668,E-Commerce,All products,SI
2670,Serveur NAS,All products,SI
3065,ANNULEE,All products,SI
3078,Photographie de la boite de production et mannequins ,All products,SI
2919,LOCATION SALLE DE REUNION,All products,SI
3024,Hébergement Plan Moyenne Entreprise,Hébergement,SI
3072,SITE WEB  : -un site web personnalisé et paramétrable -Gestion intuitive de votre catalogue de produits -commandes en,All products,SI
4095,SLA gestion du contenu,Développement web,Projects
3075,Data,All products,SI
3081,CAFETERIA MATIN,All products,SI
4092,SERVEUR DEDIE ALL IN ONE,Serveur,SI
4094,PACK ERP PREMIUM + BI,ERP,Projects
4097,Office 365 (A3) Faculté,Office 365,SI
3076,Module Réservation en ligne ,All products,SI
4096,Microsoft Office 365 (A1) Éducation,Office 365,SI
3079,Achat des images sur des portails 10 images ,Digital,Projects
4098,Office 365 (A3) étudiant,Office 365,SI
3077,Module Visite Guidé ,All products,SI
3082,serveur,All products,SI
3083,PACK1 : Séminaire de 2  jours «  leadership  » du 06/07 Juin 2015,All products,SI
3105,Location salle de réunion,All products,SI
3118,tablette youth 2,All products,SI
3131,"Disque dur interne 3""5sata 111 HDD western",All products,SI
4099,Office 365 (A5) étudiant,Office 365,SI
3117,borne tactile ,All products,SI
3123,billet d'avion:lallaoua,All products,SI
4100,Office 365 (A5) Faculté,Office 365,SI
4101,"Email Advanced Malware Protection 3YR Lic Key, 1K-1999 Users",Cisco,SI
3119,timbre fiscal,All products,SI
3120,IMPRIMANTE HP LASERJET P1606DN Laser ,All products,SI
3121,location salle deréunion,All products,SI
3125,acer travelmateEX25104 GoRAM500Godisq,All products,SI
4103,"Service maintenance SafeNet Trusted Access Premium - Single Unit Capacity, 24x7 Support Pack 100.0 users",All products,SI
3493,Microsoft Office 365 (E3),Office 365,SI
3122,billet d'avion:belbachir,All products,SI
3129,Honoraires d'assistance comptable déclaration,All products,SI
3133,INTERNET 08MB/S,All products,SI
4102,"Safenet Trusted Access - Single unit capacity, 24x7 Support 12 Month Pack 100.0 users",All products,SI
3124,billet d'avion:chibane,All products,SI
3132,SERVEUR dédié 1,All products,SI
4104,service maintenance Token.mobilepass (IOS & ANDRIOD).software.SAS-Cloud.CAPEX Pack 100.0 users,All products,SI
3126,"lenovo B50-70 2 Go 500 disque 15,6 pouces",All products,SI
3127,local à usage de bureau,All products,SI
2976,Certificat SSL EV Extended,SSL,SI
3128,charges communes 15,All products,SI
3130,"110+MB/sec Reading,72+MB/SEC wRITING CP",All products,SI
2927,cartouche noir CE278A pour imprimante Hp Laser Jet 1536 dnf MPF,All products,SI
3162,Hébergement serveur ECO FIRSTns203.Netissime.dz+licence CPANEL,Achat,Marketing
3163,Hébergement serveur ECO +ns202.netissime.dz,All products,SI
3164,CTV,All products,SI
3169,"Presse Nationale, Presse électronique, réseaux sociaux...etc surveillance 360° de tous les concurrents. surveillance de nouveaux",All products,SI
3166,AASTRA 6730 i SIP,Saleable,SI
3165,TUAR + ONDA,All products,SI
3167,AASTRA HIGH ANGLE STAND,All products,SI
3193,Licence Windows Serveur Standard 2012,Microsoft,SI
3184,SERVEUR DEDIE ALGERIE,Serveur,SI
3168,Droit timbre publicité,All products,SI
3170,Frais d'agence,All products,SI
3171,Carnet de 50 bons de carburant auto,All products,SI
3172,prestation carnets tac naftal,All products,SI
3173,cafétaria matin,All products,SI
3208,DEVELOPPEMENT,Digital,Projects
3195,Enregistrement - Transfert - Renouvellement Nom de domaine spécial,Hébergement,SI
3196,Depot de la marque GED,All products,SI
3197,Taxe par classe de produits,All products,SI
3198,Dépot de la marque ERP,All products,SI
3199,Depot de la marque EMAILING,All products,SI
3200,Windows Server 2012 Standard R2 FRENCH APK,All products,SI
2845,"E-Learning : 1.Gestion des cours (PDF, Word, EXCEL, et autre format) 2.Gestion des vidéos (en ligne, et en streaming). 3.Gestion",All products,SI
3225,Disque dur externe de 1 To Western Degital,All products,SI
3035,E-SMS : ,All products,SI
3228,Dell inspirion core-i5-4G500gb-DVD RW Intel HD graphics,All products,SI
3224,Cable USB/RS232,All products,SI
3226,Licence kaspersky pack de PCs 2015,All products,SI
3263,Hebergement serveur Premium ns312.netissime.dz,All products,SI
3264,Hebergement serveur First ns311.netissime.dz+licenceCPANEL,All products,SI
3265,Licence serveur VPS 82.196.25.4,All products,SI
3266,Licence serveur VPS 82.196.25.3,All products,SI
3267,pack huawei y221,All products,SI
3269,traitement des salaires -juil-15 aout-15 sept-15,All products,SI
3270,Service,All products,SI
3271,Etude concurrencielle pour l'entreprise  AYRADE,All products,SI
3273,bouteille d'eau ,All products,SI
3080,Développement de l’application mobile ,Tous les articles / Digital / Développement mobile,Projects
3303,SERVEUR HP Proliant ML 10 Gen9,Matériel,SI
3316,Projet d'Organisation et de Mise à niveau,All products,SI
3331,remplacement courroie alternateur,All products,SI
3332,remplacement plaquette de frein,All products,SI
3334,montant des options,All products,SI
3335,hebergement serveur premium ns200.netissime.dz+licence cpanel,All products,SI
3336,hebergement serveur netissime first ns203.netissime.dz,All products,SI
3340,hebergement serveur netissime premium ns 312.netissime.dz,All products,SI
3345,licences serveur vps 92.39.251.179,All products,SI
3339,hebergement serveur netissime premium ns 305.netissime.dz,All products,SI
3350,Site dynamique,Digital,Projects
3342,hebergement serveur premium ns316.netissime.dz,All products,SI
3343,,All products,SI
3356,Microsoft Office 365 (E1),Office 365,SI
3009,Site vitrine ,Digital,Projects
3373,Service Professionnel Office ,Office 365,SI
3344,licences serveur vps 82.196.25.6,All products,SI
3372,DEMANI KAMILA.ALG-CBH-ALG.Billet n°124 2405 280 842,All products,SI
3359,serveur hp ml 110-G7 intel@xeon E3-1220 3.10GHz 4x4GB1xTO DVD-RW 1x350W EU,All products,SI
3361,Kaspers total securité 05 postes,All products,SI
3363,CABLES Rj 3 metres45,All products,SI
3375,LOGICIEL KGT inclus paramétrage,All products,SI
3376,SERVEUR DELL inclus licence windows,All products,SI
3358,Étude fonctionnelle ERP,ERP,Projects
3352,639261-425 ML110-G7 Intel®Xeon E3-1220,All products,SI
3381,Souris sans fil optique,All products,SI
3384,sous chemise different couleur,All products,SI
3388,fiche bristol uni a4,All products,SI
3423,autocollant noir avec découpe,All products,SI
3424,"chargeur HP. V19,5. A 4,62",All products,SI
3433,cartouche filtrante,All products,SI
3437,Prestation de service (recouvrement de créances).,All products,SI
3425,convertisseur HDMI-VGA,All products,SI
3426,filtre à l'huile,All products,SI
3431,joint,All products,SI
3439,Tableau blanc dim 120x180 ref 1092,All products,SI
3442,Nettoyant d'ecran liquide 100ml ref 3241,All products,SI
3427,rondelle etancheité,All products,SI
3428,bougie,All products,SI
3440,Lingette pour tableaux blanc de 100pcs ref 3244,All products,SI
3429,filtre à air,All products,SI
3434,bougie allumage,All products,SI
3430,revision vehicule,All products,SI
3432,FVOI prot tfch 15w40,All products,SI
3441,Brosse magnétique pour tableau blanc + 2 rechanges ref 3014,All products,SI
3435,remplacement filtre à air,All products,SI
3436,remplacent bougie d'allumage,All products,SI
3454,Mise en forme de site web,Digital,Projects
3453,Création et optimisation du contenu,Digital,Projects
3438,Tableau blanc dim 120x180 ref 10,All products,SI
3443,creation des domaines esraya.fr et sraya.fr,All products,SI
3444,Téléphone mobile Samsung SM-N920C Galaxy Note 5,All products,SI
3446,Rédaction A propos ,All products,SI
3025,Hébergement Plan Grande Entreprise,Hébergement,SI
2809,Messagerie - migration,Hébergement,SI
3464,origination international,All products,SI
3502,Support CAE 1 18 06 /2016,All products,SI
3457,Conception site web,All products,SI
3459,conception 4 sites web + intégration contenue,All products,SI
3460,Charte graphique PRV,All products,SI
3461,Téléphone mobil Samsung,All products,SI
3368,PACK ERP PRO,ERP,Projects
2864,Serveur Privé VM ( HG) VPS DZ ( Algérie ),Serveur,SI
3468,charges d'exploitation de 15%,All products,SI
3469,Support CAE 1 18/05/2016,All products,SI
3470,Support CAE 1 14/05/2016,All products,SI
3471,DEHMANI KAMILA.ALG-CBH-ALG.Billet n°1242405280842,All products,SI
3472,Hebergement PD pour BELBACHIR Mohamed Lamine ref 00565,All products,SI
3473,Billet BELBACHIR Mohamed Lamine ALG-FRA-ALG,All products,SI
3474,BELBACHIR Mohamed Lamine ALG-PAR-ALG Billet n°4392404242776. classe T/T,All products,SI
3475,hebergement serveur premium ns316.netissime.dz(12720DZD)+1adresse IP,All products,SI
3476,1032hebergement serveur pro ns322.netissime.dz(10320 DZD),All products,SI
3477,Frais installation Business 3G avec caution,All products,SI
3478,Total caution,All products,SI
3516,BUKEELA,Achat,Marketing
3515,integration des pages,All products,SI
3521,APC Smart-UPS RT 19 Rail Kit for Smart-UPS RT 3/5/6/7.5/10kVA,All products,SI
3525,TONER HP NOIR PACK DE 2 TONERS P 1566/P1606/M1536,All products,SI
3526,TONER NOIRE 1300 pages (P/27)pr M176/177-130A,All products,SI
3530,"SACOCHE HP 15,6""(39,62cm)",All products,SI
3533,TONER Magenta-1000pages(P/27)prM176/177-130A,All products,SI
2891,HP LaserJet Pro M225dn,All products,SI
3537,service,All products,SI
3538,Formation: pratique de la paie,All products,SI
3543,hebergemenr serveur first ns201.netissime.dz+licence cpanel,All products,SI
3547,conception site transmect,All products,SI
3519,Accommodation et restauration,All products,SI
3520,DULSAO DO BRASIL,Achat,Marketing
3536,Diner complet,All products,SI
3541,Prestation carnets TAC NAFTAL,All products,SI
3522,organisation international,All products,SI
3529,TONER Magenta-1000pages(P27)prM176/177-130A,All products,SI
3531,SOURIS HP OPTIC USB Pour PC,All products,SI
3540,TVA sur autres prod§Prest.17%,All products,SI
3523,organisational,All products,SI
3524,IMPRIMANTE HP LASERJET MULTIFONCTION PRO M225DN A4 NOIR CNB9H4V6KG,All products,SI
3528,TONER Jaune-1000pages(P/27)prM177-130A,All products,SI
3527,TONER Cyan-1000pages(P/27)prM176/177-130A,All products,SI
3534,support CAE1 18 06/2016,All products,SI
3539,Carnet de 25 bons de carburant auto,All products,SI
3542,licence serveur vps 82.196.25.123,All products,SI
3546,Batterie 50 ah,All products,SI
3532,TONER NOIRE-1300pages(P27)prM176/177-130A,All products,SI
3535,support CAE1 14 06/2016,All products,SI
3544,hebergement serveur pro ns506.datagix.com,All products,SI
3548,conception site laiterie de DBK,All products,SI
2933,Hébergement d'un serveur (Housing),Serveur,SI
3565,Microsoft Office 365 (E5),Office 365,SI
3563,Paramétrage utilisateur (Alger) ,Hébergement,SI
3564,Paramétrage utilisateur (hors Alger) ,Hébergement,SI
3549,Debours(local CA-E2-06,All products,SI
3550,Debours(local CA-E1-06),All products,SI
3585,HP ProLiant ML310e Gen8 v2,Matériel,SI
3586,Office 365 Business Essentials,Office 365,SI
3583,Office 365 Business Premium,Office 365,SI
3603,VPS SSD ,Serveur,SI
3584,Ligne spécialisée arrivée,All products,SI
3601,Retenue de garantie,All products,SI
3587,hebergement serveur premium ns 507.datagix.com,All products,SI
3588,licence serveur physique 82.196.25.121,All products,SI
3605,SERVEUR DEDIE SSD L,Serveur,SI
3606,SERVEUR DEDIE SSD XL,Serveur,SI
3607,SIEM,Hébergement,SI
2803,VPS 1,Serveur,SI
3604,SERVEUR DEDIE SSD S,Serveur,SI
3613,Sous chemise différent couleur,All products,SI
3614,Souris optique sans fil 3GV-TRACK Noir,All products,SI
3615,"Cable VGA 1,5 ml",All products,SI
3616,Bloc note ,All products,SI
3617,Registre 3 mains 5*5 288 pages,All products,SI
3455,PACK ERP PREMIUM ,ERP,Projects
3456,PACK ERP BASIC,ERP,Projects
3416,HP ProLiant DL380 Gen9 E5-2620v3,Matériel,SI
3618,Spirale souple 20mm noir,All products,SI
3619,Spirale souple 14 mm noir,All products,SI
3620,Spirale souple 16 mm noir,All products,SI
3621,Boite DVD vide noir double GM,All products,SI
3636,Litige ligne 02110050610351,All products,SI
3638,litige ligne02110051,All products,SI
3639,joint diam 16,All products,SI
3648,Flash disk 16 GO,All products,SI
3649,Batterie pour Laptop HP PROBOOK 4530S,All products,SI
3641,commutater eclairage,All products,SI
3642,commutateur eclairage,All products,SI
3644,remplacement filtre à air,All products,SI
3643,main d'oeuvre forfait,All products,SI
3645,remplacement roulemen,All products,SI
3646,remplacement commutateur eclairage,All products,SI
3647,KASPERSKY TOTAL SECURITE,All products,SI
3658,INISSIA D40 EU2 Black Nespress,Achat,Marketing
3662,Participation au Forum SIT ,Achat,Marketing
3675,Licences d'application : Plesk Panel,Hébergement,SI
3684,Compte G-Suite Basic,Hébergement,SI
3650,SONY XPERIA X DUAL,All products,SI
3651,Mise à niveau de l'organisation et définition des fonctions,All products,SI
3652,hebergement serveur first  ns203.Netissime.dz.+ licence CPANEL,All products,SI
3653,Hebergement Discount WIN,All products,SI
3654,Location serveur First WINDOWS(7.680DZD) ayradewindows.datagix.com 82.196.25.113,All products,SI
3686,conception des pages,Achat,Marketing
3687,Développement API,All products,SI
3688,Pack sur mesure,Achat,Marketing
3690,litige 023202025,All products,SI
3689,litige 02110519,All products,SI
3627,Plan Hébergement Premium,Hébergement,SI
3691,SERVEUR DE STOCKAGE NAS NETGEAR,Matériel,SI
3692,Contrat d'abonnement ligne téléphonique du 01/06/2017 au 31/05/2018,All products,SI
3698,Frais de transport ,All products,SI
3693,Réparation climatiseur,All products,SI
3736,Réparation et nettoyege de ventilo,All products,SI
3741,SWITCH D-LINK 8 PORTS 10/100Mbps DES-108A,All products,SI
3743,PRISE RJ45 PROG MOSAIC CAT5e FTP BLANC,All products,SI
3745,OBTURATEUR PROGRAMME MOSAIC,All products,SI
3748,CableFTP CATS 305M,All products,SI
3750,Ram 4Go pour LAPTOP,All products,SI
3758,Modération permanente,Digital,Projects
3776,IP Load Balancer,Hébergement,SI
3737,Toner compatible hp 35A/85A/78A/725/728,All products,SI
3782,Stylo noir,All products,SI
3783,Porte stylo,All products,SI
3789,"Feutre bleu,vert et rouge",All products,SI
3790,Agenda note book,All products,SI
3792,Corbeille,All products,SI
3784,Agraffeuse,All products,SI
3785,Tapis de souris,All products,SI
3791,corbeille,All products,SI
3795,Stand aménagé en m2 à HIMAYATIC 2017,All products,SI
3786,Post-it couleur,All products,SI
3793,VPS CLOUD 1,All products,SI
3794,Passerelles GSM Ericsson G35,All products,SI
3819,Template WORDPRESS,Digital,Projects
3823,Sponsoring Pack 1 ,Réseaux sociaux,Marketing
3813,Licence Sql server 2012 ,Microsoft,SI
3787,Scotch,All products,SI
3788,Agenda 2018,All products,SI
3796,camera IP D-LING AUDIO VISUEL,All products,SI
3797,Pointeuse,All products,SI
3798,Cable cat 5 E UTP,All products,SI
3799,Prise RG 4,All products,SI
3827,Service d'hèbergement dans le data center dz Janvier 2018,All products,SI
3828,Service d'hébergement dans le data center dz mars 2018,All products,SI
3833,Reprise & correction des erreurs,All products,SI
3834,Installation,All products,SI
3830,Analyse de l'existant détaillée ERP,All products,SI
3836,Analyse de l'existant détaillée ERP,All products,SI
3837,GIFTY 41000,All products,SI
3839,Infogérance Bronze,Infogérance,SI
3843,Clé wifi Totilink 300,All products,SI
3859,SALON 04 PLACES EN SIMILI CUIR,All products,SI
3867,imprimante a badge Smart 30S,Matériel,SI
3841,Pack 4 toners,All products,SI
3842,REVENDEUR 3,All products,SI
3844,Disque dur 500 G 2.5,All products,SI
3845,Disque dur 1 To SATA 3.,All products,SI
3846,Cable pc,All products,SI
3892,Zimbra Collaboration Suite Perpetuel,All products,SI
3893,Zimbra Collaboration Suite - Support,All products,SI
3901,Baie de stockage QNAP TS-228,All products,SI
3910,HP Proliant ML30 Gen9,All products,SI
3894,Services professionnels d'ingénierie (Zimbra),All products,SI
3899,consommation electrique  tranche 2,All products,SI
3906,Développement spécifique des modules sur ERP,All products,SI
3895,Migration de la version Odoo,ERP,Projects
3907,QNAP TS-253A SERVEUR NAS DEUX DISQUES,Matériel,SI
3900,fd,All products,SI
3909,CA- E1-06,All products,SI
3911,ESCENE WS290 IP PHONE ,All products,SI
3916,SERVEUR FUJITSU,Matériel,SI
3917,Formation Office 365,Office 365,SI
3896,Redevance de consommation électrique,All products,SI
3897,consommation electrique tranche 2,All products,SI
3898,consommation electrique tranche 3,All products,SI
3902,Baie de stockage QNAP TS-228 avec 4To,All products,SI
3903,taxe habitation,All products,SI
3904,location d'un stand d'exposition,All products,SI
3918,cpanel,All products,SI
3941,Windows 10 Professionnel,Microsoft,SI
3935,Serice périodique 1000 véhicule Diésel CONTROLE GENERAL VIDANGE HUILE MOTEUR REMPLACEMENT FILTRE A HUILE,All products,SI
3944,Courses,All products,SI
3958,Option workflow conditionnel - 5 utilisateurs + 1 an de maintenance ,GED,Marketing
3960,1 Licence Open Bee™ Scan (par Poste supplémentaire) + 1 an de maintenance ,GED,Marketing
3959,1 Licence ERP Manager + 1 an  de maintenance ,GED,Marketing
3961,1 Licence Open Bee™ Scan Barcode Manager par poste  + 1 an de maintenance,GED,Marketing
3962,Fourniture et configuration d'un pare-feu ( Firewall ) ,Matériel,SI
3936,Service périodique 10000 véhicule Diesel : CONTROLE GENERAL VIDANGE HUILE MOTEUR REMPLACEMENT FILTRE A HUILE,All products,SI
3938,CARTOUCHE,All products,SI
3957,1 utilisateur supplémentaire (de 100 à 499),GED,Marketing
4014,1 Licence Open Bee™ Scan LAD Manager par poste + 1 an de maintenance,GED,Marketing
4015,"1 Licence OCR Arab ""par poste scan """,GED,Marketing
4016,Licence Open Bee Formulaire ,GED,Marketing
4017,1 an de contrat de maintenance logicielle supplémentaire (20 % aditionnel),GED,Marketing
4018,Service d'installation sur site (1 jour/Frais de déplacement & hébergement non inclus),GED,Marketing
4019,Audit documentaire sur site + rédaction du CDC (1 jour/Frais de déplacement & hebergment non inclus),GED,Marketing
3956,Pack Open Bee™ Portal - 5 utilisateurs + 1 an de maintenance,GED,Marketing
4020,Service de Formation et acompagnement sur site (1 jour/Frais de déplacement & hébergement non inclus),GED,Marketing
3984,Stylo à bille vertex bleu,All products,SI
3985,Stylo à bille vertex noir,All products,SI
3989,Rouleau scotch de bureau 19x20,All products,SI
3990,Corbeille à papier metallique ronde,All products,SI
3992,Rame de 100 slides neutres X.ONE A4 140mic pour relieure,All products,SI
3993,Rame de papier bristol FABS 180g A4 100 feuille blanche,All products,SI
4033,Frais de montage de pieces de rechange véhicule de service,All products,SI
4036,Accompagnement,All products,SI
4039,FRAIS DE REMBOURSEMENT BILLET ALGER-JIJEL MR LALLAOUA AMIN,All products,SI
4058,PACK ESSENTIAL,ERP,Projects
2776,MARQUEUR PERMANENT PENTEL,All products,SI
2777,Business,All products,SI
2778,SWITCH 5 PORT TP-LINK 10/100Mbps REF:TL-SF1005D,All products,SI
2779,HP 300GB 10K 6G 2.5 SAS DP HDD,All products,SI
2780,PublicitÃ© sur le rÃ©seau,All products,SI
3063,UTMWWBP,All products,SI
3064,UTMWEMP,All products,SI
3070,TVA SUR AUTRES PROD & PREST ,All products,SI
2849,Repas Complét Boisson Comprise,All products,SI
3829,Sponsoring Pack 2 ,Réseaux sociaux,Marketing
4034,Exchange Online Plan 1 ,Office 365,SI
4041,Spot publicitaire,Digital,Projects
3181,Community Management Pack Bronze,Réseaux sociaux,Marketing
4059,Community Management Pack Silver,Réseaux sociaux,Marketing
4060,Community Management Pack Gold,Réseaux sociaux,Marketing
4042,Sponsoring Pack 3,Réseaux sociaux,Marketing
2696,KASPERSKY 3 POSTES 2013/ 1 AN,All products,SI
2698,INTERNET 08 MB/S,All products,SI
2699,Travaux de tirage des Ã©tats financiers 2012,All products,SI
2700,InfogÃ©rance ,All products,SI
2701,Processeur HP E5620 DL380G7 Kit,All products,SI
2702,IntÃ©gration et implÃ©mentation ,All products,SI
2708,"Boitier Serveur SYNOLOGY 2HDD 3""5 DS212J",All products,SI
2709,"Disque Dur 3""5-3T-SATA-64M Cache- Western Digital- Green- WD30EZRSDTL",All products,SI
2710,ContrÃ´le d'accÃ©s Digital Ã  empreinte WP300,All products,SI
